IncidntNum,X_pr,Y_pr,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Location,X,Y,geometry,DateTime,Hour
120516979,5996647.000051432,2088056.000033669,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Sunday,2012-07-01,00:00:00,TARAVAL,NONE,BROAD ST / SAN JOSE AV,-122.453457575,37.7132121535,POINT (5996647.000051432 2088056.000033669),2012-07-01,0
120517096,6018849.717108543,2094116.539497269,ROBBERY,ROBBERY OF A RESIDENCE WITH A GUN,Sunday,2012-07-01,00:00:00,BAYVIEW,NONE,0 Block of HARBOR RD,-122.377136758,37.7311009612,POINT (6018849.717108543 2094116.539497269),2012-07-01,0
120519058,6009324.000106226,2114646.0000240677,ROBBERY,"ROBBERY, BODILY FORCE",Sunday,2012-07-01,00:00:00,TENDERLOIN,NONE,GEARY ST / TAYLOR ST,-122.41151882,37.7869408999,POINT (6009324.000106226 2114646.0000240677),2012-07-01,0
120519064,6010022.549945309,2115050.0973795475,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Sunday,2012-07-01,00:00:00,CENTRAL,NONE,400 Block of POST ST,-122.409130511,37.7880896122,POINT (6010022.549945309 2115050.0973795475),2012-07-01,0
120519268,6011069.5657573305,2115794.08227626,ROBBERY,ATTEMPTED ROBBERY ON THE STREET WITH BODILY FORCE,Sunday,2012-07-01,00:00:00,CENTRAL,NONE,300 Block of GRANT AV,-122.40556042,37.7901910169,POINT (6011069.5657573305 2115794.08227626),2012-07-01,0
120519274,6004267.999987098,2109084.0000135046,ROBBERY,"ROBBERY, ARMED WITH A GUN",Sunday,2012-07-01,00:00:00,NORTHERN,NONE,WEBSTER ST / WALLER ST,-122.428614807,37.7713841279,POINT (6004267.999987098 2109084.0000135046),2012-07-01,0
120519804,6014709.000021235,2103890.9999961555,ROBBERY,ROBBERY ON THE STREET WITH A GUN,Monday,2012-07-02,00:00:00,BAYVIEW,NONE,22ND ST / IOWA ST,-122.392135366,37.7577106394,POINT (6014709.000021235 2103890.9999961555),2012-07-02,0
120518185,6001710.378424132,2088842.9243401443,ROBBERY,ROBBERY OF A RESIDENCE WITH BODILY FORCE,Sunday,2012-07-01,00:00:00,INGLESIDE,NONE,500 Block of AMAZON AV,-122.436013113,37.7156618183,POINT (6001710.378424132 2088842.9243401443),2012-07-01,0
120521887,6007403.99988379,2090965.0000040208,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Monday,2012-07-02,00:00:00,INGLESIDE,NONE,JOHNFSHELLEY DR / CAMBRIDGE ST,-122.41648354,37.7218104029,POINT (6007403.99988379 2090965.0000040208),2012-07-02,0
120522352,6011191.517136316,2095115.0024232867,ROBBERY,"ROBBERY ON THE STREET, STRONGARM",Monday,2012-07-02,00:00:00,BAYVIEW,NONE,1700 Block of SILVER AV,-122.403682855,37.7334177198,POINT (6011191.517136316 2095115.0024232867),2012-07-02,0
